date,base_currency,quote_currency,rate
2021-03-24,EUR,EUR,1.0000000000
2021-03-24,EUR,GBP,1.1684956699
2021-03-24,EUR,USD,0.8947974733
2021-03-25,EUR,EUR,1.0000000000
2021-03-25,EUR,GBP,1.1650084230
2021-03-25,EUR,USD,0.8952788755
2021-03-26,EUR,EUR,1.0000000000
2021-03-26,EUR,GBP,1.1502349988
2021-03-26,EUR,USD,0.9068430013
2021-03-29,EUR,EUR,1.0000000000
2021-03-29,EUR,GBP,1.1462783895
2021-03-29,EUR,USD,0.9064880338
2021-03-30,EUR,EUR,1.0000000000
2021-03-30,EUR,GBP,1.1554436586
2021-03-30,EUR,USD,0.9026435512
2021-03-31,EUR,EUR,1.0000000000
2021-03-31,EUR,GBP,1.1527968905
2021-03-31,EUR,USD,0.9132381145
2021-04-01,EUR,EUR,1.0000000000
2021-04-01,EUR,GBP,1.1468826799
2021-04-01,EUR,USD,0.9203059013
2021-04-02,EUR,EUR,1.0000000000
2021-04-02,EUR,GBP,1.1453556489
2021-04-02,EUR,USD,0.9280976058
2021-04-05,EUR,EUR,1.0000000000
2021-04-05,EUR,GBP,1.1494289240
2021-04-05,EUR,USD,0.9180495089
2021-04-06,EUR,EUR,1.0000000000
2021-04-06,EUR,GBP,1.1551120153
2021-04-06,EUR,USD,0.9101111602
2021-04-07,EUR,EUR,1.0000000000
2021-04-07,EUR,GBP,1.1530691125
2021-04-07,EUR,USD,0.9119259744
2021-04-08,EUR,EUR,1.0000000000
2021-04-08,EUR,GBP,1.1642655620
2021-04-08,EUR,USD,0.9071136475
2021-04-09,EUR,EUR,1.0000000000
2021-04-09,EUR,GBP,1.1649827255
2021-04-09,EUR,USD,0.9093434511
2021-04-12,EUR,EUR,1.0000000000
2021-04-12,EUR,GBP,1.1689742703
2021-04-12,EUR,USD,0.9000803148
2021-04-13,EUR,EUR,1.0000000000
2021-04-13,EUR,GBP,1.1735302916
2021-04-13,EUR,USD,0.8946888734
2021-04-14,EUR,EUR,1.0000000000
2021-04-14,EUR,GBP,1.1744295851
2021-04-14,EUR,USD,0.8919810655
2021-04-15,EUR,EUR,1.0000000000
2021-04-15,EUR,GBP,1.1835716644
2021-04-15,EUR,USD,0.8848450484
2021-04-16,EUR,EUR,1.0000000000
2021-04-16,EUR,GBP,1.1826109192
2021-04-16,EUR,USD,0.8821495375
2021-04-19,EUR,EUR,1.0000000000
2021-04-19,EUR,GBP,1.1889110553
2021-04-19,EUR,USD,0.8798874421
2021-04-20,EUR,EUR,1.0000000000
2021-04-20,EUR,GBP,1.1875188780
2021-04-20,EUR,USD,0.8790731189
2021-04-21,EUR,EUR,1.0000000000
2021-04-21,EUR,GBP,1.1890421387
2021-04-21,EUR,USD,0.8812076168
2021-04-22,EUR,EUR,1.0000000000
2021-04-22,EUR,GBP,1.1812242130
2021-04-22,EUR,USD,0.8865753305
2021-04-23,EUR,EUR,1.0000000000
2021-04-23,EUR,GBP,1.1845820101
2021-04-23,EUR,USD,0.8812481279
2021-04-26,EUR,EUR,1.0000000000
2021-04-26,EUR,GBP,1.1849294644
2021-04-26,EUR,USD,0.8867541097
2021-04-27,EUR,EUR,1.0000000000
2021-04-27,EUR,GBP,1.1901516950
2021-04-27,EUR,USD,0.8880152931
2021-04-28,EUR,EUR,1.0000000000
2021-04-28,EUR,GBP,1.1947076748
2021-04-28,EUR,USD,0.8877767032
2021-04-29,EUR,EUR,1.0000000000
2021-04-29,EUR,GBP,1.1955327651
2021-04-29,EUR,USD,0.8859441327
2021-04-30,EUR,EUR,1.0000000000
2021-04-30,EUR,GBP,1.1937683674
2021-04-30,EUR,USD,0.8863436508
2021-05-03,EUR,EUR,1.0000000000
2021-05-03,EUR,GBP,1.2076903643
2021-05-03,EUR,USD,0.8820602267
2021-05-04,EUR,EUR,1.0000000000
2021-05-04,EUR,GBP,1.2086827982
2021-05-04,EUR,USD,0.8773577323
2021-05-05,EUR,EUR,1.0000000000
2021-05-05,EUR,GBP,1.2107528312
2021-05-05,EUR,USD,0.8846422825
2021-05-06,EUR,EUR,1.0000000000
2021-05-06,EUR,GBP,1.2083281970
2021-05-06,EUR,USD,0.8898900464
2021-05-07,EUR,EUR,1.0000000000
2021-05-07,EUR,GBP,1.2114733427
2021-05-07,EUR,USD,0.8927004642
2021-05-10,EUR,EUR,1.0000000000
2021-05-10,EUR,GBP,1.2173504450
2021-05-10,EUR,USD,0.8962740679
2021-05-11,EUR,EUR,1.0000000000
2021-05-11,EUR,GBP,1.2170628792
2021-05-11,EUR,USD,0.8921389836
2021-05-12,EUR,EUR,1.0000000000
2021-05-12,EUR,GBP,1.2023370162
2021-05-12,EUR,USD,0.9025852248
2021-05-13,EUR,EUR,1.0000000000
2021-05-13,EUR,GBP,1.2019993596
2021-05-13,EUR,USD,0.9058720529
2021-05-14,EUR,EUR,1.0000000000
2021-05-14,EUR,GBP,1.2026698780
2021-05-14,EUR,USD,0.9028353605
2021-05-17,EUR,EUR,1.0000000000
2021-05-17,EUR,GBP,1.2042056998
2021-05-17,EUR,USD,0.9084734265
2021-05-18,EUR,EUR,1.0000000000
2021-05-18,EUR,GBP,1.2050587139
2021-05-18,EUR,USD,0.9086080657
2021-05-19,EUR,EUR,1.0000000000
2021-05-19,EUR,GBP,1.2097257290
2021-05-19,EUR,USD,0.9089342282
2021-05-20,EUR,EUR,1.0000000000
2021-05-20,EUR,GBP,1.2053134705
2021-05-20,EUR,USD,0.9122515569
2021-05-21,EUR,EUR,1.0000000000
2021-05-21,EUR,GBP,1.2066008670
2021-05-21,EUR,USD,0.9064191757
2021-05-24,EUR,EUR,1.0000000000
2021-05-24,EUR,GBP,1.2000469786
2021-05-24,EUR,USD,0.9137529695
2021-05-25,EUR,EUR,1.0000000000
2021-05-25,EUR,GBP,1.1954510624
2021-05-25,EUR,USD,0.9119122199
2021-05-26,EUR,EUR,1.0000000000
2021-05-26,EUR,GBP,1.1893856890
2021-05-26,EUR,USD,0.9155458063
2021-05-27,EUR,EUR,1.0000000000
2021-05-27,EUR,GBP,1.1979316227
2021-05-27,EUR,USD,0.9113876458
2021-05-28,EUR,EUR,1.0000000000
2021-05-28,EUR,GBP,1.2000957605
2021-05-28,EUR,USD,0.9075553647
2021-05-31,EUR,EUR,1.0000000000
2021-05-31,EUR,GBP,1.2001098002
2021-05-31,EUR,USD,0.9094517622
2021-06-01,EUR,EUR,1.0000000000
2021-06-01,EUR,GBP,1.1958447464
2021-06-01,EUR,USD,0.9082341441
2021-06-02,EUR,EUR,1.0000000000
2021-06-02,EUR,GBP,1.1903695822
2021-06-02,EUR,USD,0.9057571259
2021-06-03,EUR,EUR,1.0000000000
2021-06-03,EUR,GBP,1.1920728241
2021-06-03,EUR,USD,0.9050519207
2021-06-04,EUR,EUR,1.0000000000
2021-06-04,EUR,GBP,1.1882684063
2021-06-04,EUR,USD,0.9054831600
2021-06-07,EUR,EUR,1.0000000000
2021-06-07,EUR,GBP,1.1883885916
2021-06-07,EUR,USD,0.9029725532
2021-06-08,EUR,EUR,1.0000000000
2021-06-08,EUR,GBP,1.1839879291
2021-06-08,EUR,USD,0.9046874508
2021-06-09,EUR,EUR,1.0000000000
2021-06-09,EUR,GBP,1.1915823699
2021-06-09,EUR,USD,0.8973499954
2021-06-10,EUR,EUR,1.0000000000
2021-06-10,EUR,GBP,1.2005826575
2021-06-10,EUR,USD,0.8904639299
2021-06-11,EUR,EUR,1.0000000000
2021-06-11,EUR,GBP,1.2059009643
2021-06-11,EUR,USD,0.8922708984
2021-06-14,EUR,EUR,1.0000000000
2021-06-14,EUR,GBP,1.2069691299
2021-06-14,EUR,USD,0.8939296184
2021-06-15,EUR,EUR,1.0000000000
2021-06-15,EUR,GBP,1.2067737585
2021-06-15,EUR,USD,0.8932728066
2021-06-16,EUR,EUR,1.0000000000
2021-06-16,EUR,GBP,1.1986261582
2021-06-16,EUR,USD,0.9005682309
2021-06-17,EUR,EUR,1.0000000000
2021-06-17,EUR,GBP,1.2002396662
2021-06-17,EUR,USD,0.8979885730
2021-06-18,EUR,EUR,1.0000000000
2021-06-18,EUR,GBP,1.1895855891
2021-06-18,EUR,USD,0.9030811227
2021-06-21,EUR,EUR,1.0000000000
2021-06-21,EUR,GBP,1.1850605487
2021-06-21,EUR,USD,0.9077328938
2021-06-22,EUR,EUR,1.0000000000
2021-06-22,EUR,GBP,1.1837831920
2021-06-22,EUR,USD,0.9034246401
2021-06-23,EUR,EUR,1.0000000000
2021-06-23,EUR,GBP,1.1793837427
2021-06-23,EUR,USD,0.9045133300
2021-06-24,EUR,EUR,1.0000000000
2021-06-24,EUR,GBP,1.1749223615
2021-06-24,EUR,USD,0.9084083797
2021-06-25,EUR,EUR,1.0000000000
2021-06-25,EUR,GBP,1.1676439888
2021-06-25,EUR,USD,0.9225538481
2021-06-28,EUR,EUR,1.0000000000
2021-06-28,EUR,GBP,1.1689772966
2021-06-28,EUR,USD,0.9243007022
2021-06-29,EUR,EUR,1.0000000000
2021-06-29,EUR,GBP,1.1735350888
2021-06-29,EUR,USD,0.9209317197
2021-06-30,EUR,EUR,1.0000000000
2021-06-30,EUR,GBP,1.1692099586
2021-06-30,EUR,USD,0.9204981306
2021-07-01,EUR,EUR,1.0000000000
2021-07-01,EUR,GBP,1.1714381182
2021-07-01,EUR,USD,0.9123359978
2021-07-02,EUR,EUR,1.0000000000
2021-07-02,EUR,GBP,1.1766232302
2021-07-02,EUR,USD,0.9040911801
2021-07-05,EUR,EUR,1.0000000000
2021-07-05,EUR,GBP,1.1775053975
2021-07-05,EUR,USD,0.9060706289
2021-07-06,EUR,EUR,1.0000000000
2021-07-06,EUR,GBP,1.1763867826
2021-07-06,EUR,USD,0.9110152541
2021-07-07,EUR,EUR,1.0000000000
2021-07-07,EUR,GBP,1.1825695768
2021-07-07,EUR,USD,0.9090887493
2021-07-08,EUR,EUR,1.0000000000
2021-07-08,EUR,GBP,1.1776883918
2021-07-08,EUR,USD,0.9105271488
2021-07-09,EUR,EUR,1.0000000000
2021-07-09,EUR,GBP,1.1743142034
2021-07-09,EUR,USD,0.9135608192
2021-07-12,EUR,EUR,1.0000000000
2021-07-12,EUR,GBP,1.1866714830
2021-07-12,EUR,USD,0.9118566541
2021-07-13,EUR,EUR,1.0000000000
2021-07-13,EUR,GBP,1.1836751257
2021-07-13,EUR,USD,0.9122374048
2021-07-14,EUR,EUR,1.0000000000
2021-07-14,EUR,GBP,1.1882273644
2021-07-14,EUR,USD,0.9114659782
2021-07-15,EUR,EUR,1.0000000000
2021-07-15,EUR,GBP,1.1934690022
2021-07-15,EUR,USD,0.9087097989
2021-07-16,EUR,EUR,1.0000000000
2021-07-16,EUR,GBP,1.1896816834
2021-07-16,EUR,USD,0.9115860894
2021-07-19,EUR,EUR,1.0000000000
2021-07-19,EUR,GBP,1.1944053548
2021-07-19,EUR,USD,0.9081769385
2021-07-20,EUR,EUR,1.0000000000
2021-07-20,EUR,GBP,1.1848123812
2021-07-20,EUR,USD,0.9125401046
2021-07-21,EUR,EUR,1.0000000000
2021-07-21,EUR,GBP,1.1828963884
2021-07-21,EUR,USD,0.9093796014
2021-07-22,EUR,EUR,1.0000000000
2021-07-22,EUR,GBP,1.1800240959
2021-07-22,EUR,USD,0.9176653934
2021-07-23,EUR,EUR,1.0000000000
2021-07-23,EUR,GBP,1.1821196366
2021-07-23,EUR,USD,0.9181769747
2021-07-26,EUR,EUR,1.0000000000
2021-07-26,EUR,GBP,1.1819623668
2021-07-26,EUR,USD,0.9205036500
2021-07-27,EUR,EUR,1.0000000000
2021-07-27,EUR,GBP,1.1695438058
2021-07-27,EUR,USD,0.9275750728
2021-07-28,EUR,EUR,1.0000000000
2021-07-28,EUR,GBP,1.1770666263
2021-07-28,EUR,USD,0.9202169311
2021-07-29,EUR,EUR,1.0000000000
2021-07-29,EUR,GBP,1.1705839209
2021-07-29,EUR,USD,0.9292762991
2021-07-30,EUR,EUR,1.0000000000
2021-07-30,EUR,GBP,1.1717424857
2021-07-30,EUR,USD,0.9239234395
2021-08-02,EUR,EUR,1.0000000000
2021-08-02,EUR,GBP,1.1724063310
2021-08-02,EUR,USD,0.9218322856
2021-08-03,EUR,EUR,1.0000000000
2021-08-03,EUR,GBP,1.1816565855
2021-08-03,EUR,USD,0.9138173367
2021-08-04,EUR,EUR,1.0000000000
2021-08-04,EUR,GBP,1.1757393865
2021-08-04,EUR,USD,0.9192602106
2021-08-05,EUR,EUR,1.0000000000
2021-08-05,EUR,GBP,1.1691464469
2021-08-05,EUR,USD,0.9279829199
2021-08-06,EUR,EUR,1.0000000000
2021-08-06,EUR,GBP,1.1737058459
2021-08-06,EUR,USD,0.9286651916
2021-08-09,EUR,EUR,1.0000000000
2021-08-09,EUR,GBP,1.1872327499
2021-08-09,EUR,USD,0.9223935893
2021-08-10,EUR,EUR,1.0000000000
2021-08-10,EUR,GBP,1.1948447377
2021-08-10,EUR,USD,0.9200865891
2021-08-11,EUR,EUR,1.0000000000
2021-08-11,EUR,GBP,1.1982853318
2021-08-11,EUR,USD,0.9148862506
2021-08-12,EUR,EUR,1.0000000000
2021-08-12,EUR,GBP,1.1965359840
2021-08-12,EUR,USD,0.9188265943
2021-08-13,EUR,EUR,1.0000000000
2021-08-13,EUR,GBP,1.1947749181
2021-08-13,EUR,USD,0.9184458870
2021-08-16,EUR,EUR,1.0000000000
2021-08-16,EUR,GBP,1.2001886343
2021-08-16,EUR,USD,0.9200200064
2021-08-17,EUR,EUR,1.0000000000
2021-08-17,EUR,GBP,1.2015954860
2021-08-17,EUR,USD,0.9156690931
2021-08-18,EUR,EUR,1.0000000000
2021-08-18,EUR,GBP,1.2100258768
2021-08-18,EUR,USD,0.9102015319
2021-08-19,EUR,EUR,1.0000000000
2021-08-19,EUR,GBP,1.2073229868
2021-08-19,EUR,USD,0.9130016984
2021-08-20,EUR,EUR,1.0000000000
2021-08-20,EUR,GBP,1.2124381413
2021-08-20,EUR,USD,0.9124905948
2021-08-23,EUR,EUR,1.0000000000
2021-08-23,EUR,GBP,1.2070464513
2021-08-23,EUR,USD,0.9202845487
2021-08-24,EUR,EUR,1.0000000000
2021-08-24,EUR,GBP,1.2054553727
2021-08-24,EUR,USD,0.9248226058
2021-08-25,EUR,EUR,1.0000000000
2021-08-25,EUR,GBP,1.2090743192
2021-08-25,EUR,USD,0.9269632141
2021-08-26,EUR,EUR,1.0000000000
2021-08-26,EUR,GBP,1.2071852608
2021-08-26,EUR,USD,0.9289160298
2021-08-27,EUR,EUR,1.0000000000
2021-08-27,EUR,GBP,1.2058225174
2021-08-27,EUR,USD,0.9343602198
2021-08-30,EUR,EUR,1.0000000000
2021-08-30,EUR,GBP,1.2108987525
2021-08-30,EUR,USD,0.9304351278
2021-08-31,EUR,EUR,1.0000000000
2021-08-31,EUR,GBP,1.2151718268
2021-08-31,EUR,USD,0.9297757571
2021-09-01,EUR,EUR,1.0000000000
2021-09-01,EUR,GBP,1.2160529307
2021-09-01,EUR,USD,0.9238417299
2021-09-02,EUR,EUR,1.0000000000
2021-09-02,EUR,GBP,1.2111535087
2021-09-02,EUR,USD,0.9235608632
2021-09-03,EUR,EUR,1.0000000000
2021-09-03,EUR,GBP,1.2135560206
2021-09-03,EUR,USD,0.9184654341
2021-09-06,EUR,EUR,1.0000000000
2021-09-06,EUR,GBP,1.2122421502
2021-09-06,EUR,USD,0.9241095392
2021-09-07,EUR,EUR,1.0000000000
2021-09-07,EUR,GBP,1.2102977883
2021-09-07,EUR,USD,0.9194515089
2021-09-08,EUR,EUR,1.0000000000
2021-09-08,EUR,GBP,1.2128213067
2021-09-08,EUR,USD,0.9220570582
2021-09-09,EUR,EUR,1.0000000000
2021-09-09,EUR,GBP,1.2176882916
2021-09-09,EUR,USD,0.9229669013
2021-09-10,EUR,EUR,1.0000000000
2021-09-10,EUR,GBP,1.2122690202
2021-09-10,EUR,USD,0.9307054153
2021-09-13,EUR,EUR,1.0000000000
2021-09-13,EUR,GBP,1.2092729277
2021-09-13,EUR,USD,0.9331510959
2021-09-14,EUR,EUR,1.0000000000
2021-09-14,EUR,GBP,1.2074721556
2021-09-14,EUR,USD,0.9310518152
2021-09-15,EUR,EUR,1.0000000000
2021-09-15,EUR,GBP,1.2005900925
2021-09-15,EUR,USD,0.9324397673
2021-09-16,EUR,EUR,1.0000000000
2021-09-16,EUR,GBP,1.2104533258
2021-09-16,EUR,USD,0.9268108792
2021-09-17,EUR,EUR,1.0000000000
2021-09-17,EUR,GBP,1.2082168159
2021-09-17,EUR,USD,0.9330927400
2021-09-20,EUR,EUR,1.0000000000
2021-09-20,EUR,GBP,1.2036761719
2021-09-20,EUR,USD,0.9353959426
2021-09-21,EUR,EUR,1.0000000000
2021-09-21,EUR,GBP,1.2059855062
2021-09-21,EUR,USD,0.9335448236
2021-09-22,EUR,EUR,1.0000000000
2021-09-22,EUR,GBP,1.2081757960
2021-09-22,EUR,USD,0.9318844463
2021-09-23,EUR,EUR,1.0000000000
2021-09-23,EUR,GBP,1.2060674255
2021-09-23,EUR,USD,0.9358772264
2021-09-24,EUR,EUR,1.0000000000
2021-09-24,EUR,GBP,1.2072538336
2021-09-24,EUR,USD,0.9370006115
2021-09-27,EUR,EUR,1.0000000000
2021-09-27,EUR,GBP,1.2056757807
2021-09-27,EUR,USD,0.9407767817
2021-09-28,EUR,EUR,1.0000000000
2021-09-28,EUR,GBP,1.1990348948
2021-09-28,EUR,USD,0.9410770673
2021-09-29,EUR,EUR,1.0000000000
2021-09-29,EUR,GBP,1.1928082662
2021-09-29,EUR,USD,0.9393173461
2021-09-30,EUR,EUR,1.0000000000
2021-09-30,EUR,GBP,1.1943526154
2021-09-30,EUR,USD,0.9420285590
2021-10-01,EUR,EUR,1.0000000000
2021-10-01,EUR,GBP,1.1893248439
2021-10-01,EUR,USD,0.9421273591
2021-10-04,EUR,EUR,1.0000000000
2021-10-04,EUR,GBP,1.2018668021
2021-10-04,EUR,USD,0.9399503600
2021-10-05,EUR,EUR,1.0000000000
2021-10-05,EUR,GBP,1.2016404532
2021-10-05,EUR,USD,0.9347568318
2021-10-06,EUR,EUR,1.0000000000
2021-10-06,EUR,GBP,1.2010651987
2021-10-06,EUR,USD,0.9349320674
2021-10-07,EUR,EUR,1.0000000000
2021-10-07,EUR,GBP,1.1965415807
2021-10-07,EUR,USD,0.9407291287
2021-10-08,EUR,EUR,1.0000000000
2021-10-08,EUR,GBP,1.2004123294
2021-10-08,EUR,USD,0.9388628638
2021-10-11,EUR,EUR,1.0000000000
2021-10-11,EUR,GBP,1.2011948638
2021-10-11,EUR,USD,0.9395644992
2021-10-12,EUR,EUR,1.0000000000
2021-10-12,EUR,GBP,1.2046046214
2021-10-12,EUR,USD,0.9364783382
2021-10-13,EUR,EUR,1.0000000000
2021-10-13,EUR,GBP,1.2144436078
2021-10-13,EUR,USD,0.9293622323
2021-10-14,EUR,EUR,1.0000000000
2021-10-14,EUR,GBP,1.2063573627
2021-10-14,EUR,USD,0.9374170495
2021-10-15,EUR,EUR,1.0000000000
2021-10-15,EUR,GBP,1.2101497272
2021-10-15,EUR,USD,0.9368411819
2021-10-18,EUR,EUR,1.0000000000
2021-10-18,EUR,GBP,1.2198052761
2021-10-18,EUR,USD,0.9280002832
2021-10-19,EUR,EUR,1.0000000000
2021-10-19,EUR,GBP,1.2154577490
2021-10-19,EUR,USD,0.9291279285
2021-10-20,EUR,EUR,1.0000000000
2021-10-20,EUR,GBP,1.2185777091
2021-10-20,EUR,USD,0.9250707266
2021-10-21,EUR,EUR,1.0000000000
2021-10-21,EUR,GBP,1.2118038239
2021-10-21,EUR,USD,0.9289001955
2021-10-22,EUR,EUR,1.0000000000
2021-10-22,EUR,GBP,1.2146286326
2021-10-22,EUR,USD,0.9309991846
2021-10-25,EUR,EUR,1.0000000000
2021-10-25,EUR,GBP,1.2156048436
2021-10-25,EUR,USD,0.9345649469
2021-10-26,EUR,EUR,1.0000000000
2021-10-26,EUR,GBP,1.2221913009
2021-10-26,EUR,USD,0.9374549692
2021-10-27,EUR,EUR,1.0000000000
2021-10-27,EUR,GBP,1.2208469818
2021-10-27,EUR,USD,0.9346506072
2021-10-28,EUR,EUR,1.0000000000
2021-10-28,EUR,GBP,1.2207319642
2021-10-28,EUR,USD,0.9367665742
2021-10-29,EUR,EUR,1.0000000000
2021-10-29,EUR,GBP,1.2180201012
